emotion,clean_text
optimism,worry is a down payment on a problem you may never have  joyce meyer  motivation leadership worry
anger,my roommate its okay that we cant spell because we have autocorrect terrible firstworldprobs
joy,no but thats so cute atsu was probably shy about photos before but cherry helped her out uwu
anger,rooneys fucking untouchable isnt he been fucking dreadful again depay has looked decentishtonight
sadness,its pretty depressing when u hit pan on ur favourite highlighter
anger, but your pussy was weak from what i heard so stfu up to me bitch  you got to threaten him that your pregnant 
sadness,making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist college
joy,tiller and breezy should do a collab album rapping and singing prolly be fire
anger, broadband is shocking regretting signing up now angry shouldofgonewithvirgin
anger, look at those teef growl
anger,  usa was embarrassing to watch when was the last time you guys won a game horrible joke
sadness,newyork several baloch amp indian activists hold demonstrations outside  headquarters demanding pak to stop exporting terror into india
anger,your glee filled normy dry humping of the most recent high profile celebrity break up is pathetic amp all that is wrong with the world today
anger,what a fucking muppet    stalker
anger,autocorrect changes em to me which i resent greatly
anger, i would never strategically vote for someone i dont agree with a lot of the clinton vote based on fear and negativity
anger, haters you are low in self worth self righteous in your delusions you cower at the thought of change change is inevitable
optimism,i saved him after ordering him to risk his life i didnt panic but stayed calm and rescued him
optimism, uggh thats really horrible youre not a bad person by any stretch of the imagination i hope this person realizes that
anger,   tamra would f her up if she swung on tamrankelly is a piece of  needstobeadmitted bully
optimism,love is when all your happiness and all your sadness and all your feelings are dependent on another person
sadness,its possible changing meds is best not done while under stress difficult to tell what part of despair is circumstantial what is drugs
anger,im also definitely still bitter about the yellow ranger not being asian but asian representation in hollywood is essentially a shrug anyway
anger, the irony is that those protesting about this kind of stuff are the orwellian nightmare they think theyre fighting against
anger,  nah way thats horrible
anger, i think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist 
joy,angel delight is my everything
anger,puzzle investing opening portland feodal population is correlative straight a snorting infuriate xlzjyhg
joy,i believe im gonna start singing in my snap stories on the tractor switch it up a little bit
anger,i have a rage rage ep  coming out soon ill keep you posted on it youtube youtubegaming rage
joy,why have i only just started watching glee this week i am now addicted  glee gleek
anger,jorge deserves it honestly hes weak  dayfiance
anger, shit doesnt even begin to describe these fiery little demons straight from hell  
joy,  ditto such an amazing atmosphere philippplein cheerleaders stunt londonevents cheer
anger,interview preparation i hate talking about myself one dull subject matter yawnoff
joy,manchester derby at home
anger,itd probably be useful to more than women but im dealing with rereading an article about a woman being harassed on the subway concern
joy,her i want a playful relationshipnme kicks her off the couch
anger,romero is fucking dreadful like seriously my  month old is better than him
anger, its taken for granted while the misogyny in the air is treated as normal  and any angry response to it as pathological
sadness, oh i see ive seen so many people mourn the loss that i was surprised to see your tweet i suppose same old here in sa
sadness,so gutted i dropped one of my earrings down the sink at school
joy,happy birthday to stephen king a man responsible for some of the best horror of the past  years and a whole bunch of the worst
optimism, my courage always rises at every attempt to intimidate menelizabeth bennett pride and prejudicenquotes courage faceyourfears
joy,its a good day at work when you get to shake jim lehrers hand thanks  still kicking myself for being to shy to hug 
sadness,im so bored and fat and full and ridiculously overweight and rolls galore
anger, flirt simper pout repeat yuck
anger,trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally long before trump got into politics
anger,theres this bpharm guy eish that guy brings anger into my life when i see him nje like darkness fills me  will know
anger,tears and eyes can dry but i wont im burning like the wire in a lightbulb
anger,nor hell a fury like a woman scorned  william congreve
sadness, tried  get earlier flt day   turnd away bcuz it was  late then agent let other pas on silvereliteleftbehind
sadness, i so wish you could someday come to spain with the play i cant believe im not going to see it sad
joy,val got a little too big for her hiking boots with that bakewell the little terror gbbo
joy, bts  trilogy mv is my all time fav quite gloomy but beautiful as well
anger,  prudence suggests that a  bump over  weeks should be viewed with skepticism mediahrc axis angry
joy,thank you disney themed episode for letting me discover how amazing the  are hilarious
anger,need a new outlet for rage
joy,rewatching raising hope with hubs this time and totally forgot how hilarious it is  herewego
joy,  wow not heard this in forever random but great sting xph
optimism,may the optimism of tomorrow be your foundation for today
anger,   nnand also trying to find it on youtube is a fucking nightmare
anger, spent over  fucking hours and still cant get that dam siva fragment on fellwinters peak mountain
joy,happy birthday lost  lost dharmainitiative years september oceanic
sadness,peoplelikemebecause they see the happy exterior not the hopelessness i sometimes feel inside depression  anxietyprobz
anger,people who go the speed limit irritate me
joy,ff nn nnsoul blues amp rock bandnnmusic from the heartnnwith soul amp passion nnxx  xx
anger,  ohh so here comes sense from terror supporting stone pelting vandalizing ppl who gather b protests to announce 
sadness,my fav movies are horror but they dont make them like they used too havent seen a great one in years
anger,id like to bridge the divide between right and left twitter and say that the new tweet truncating thing is fucking awful
sadness, i am shy xd
anger,after what just happened in need to smoke
anger,joes gf started singing all star and then joe got angry and was all sing it right and started angrily singing it back at her
joy, i remember its heyday but these ladies range in age from id say mids to early s
anger, so this houses will get into my instestines and scare my poop and ill shit my pants
anger,   nndo rednecks intellectually intimidate you and force you to be their dancing clown
sadness,sometimes i like to talk about my sadness  other times i just want to be distracted by friends laughter shopping eating  nnmhchat
anger,noooooo  without maryberry will be awful endofanera going b so lost  have bought a lameduck there notallaboutthemoney
joy,on the bright side my music theory teacher just pocket dabbed and said i know whats hip and walked away 
anger, it can go one of two ways you either get over it and accept it because its not going to change or you mope about 
sadness,peoplelikemebecause they see the happy exterior not the hopelessness i sometimes feel inside depression anxiety anxietyprobz
joy,thisisus has messed with my mind amp now im anticipating the next episode with apprehension amp delight isthereahelplineforthis
anger,god we need a new goal keeper theyre both horrific
